event_id,location_id,location_name
E0003,L002,Lâm Thao district
E0004,L001,Northern Vietnam
E0009,L003,Vĩnh Lộc district
E0010,L004,Red River Delta
E0011,L006,Phong Châu
E0389,L004,Red River Delta
E0390,L004,Red River Delta
E0045,L004,Red River Delta
E0391,L006,Phong Châu
E0391,L001,Northern Vietnam
E0391,L004,Red River Delta
E0392,L001,Northern Vietnam
E0392,L004,Red River Delta
E0056,L004,Red River Delta
E0059,L008,Cổ Loa Citadel
E0060,L007,Hùng Temple
E0393,L008,Cổ Loa
E0393,L001,Northern Vietnam
E0394,L008,Cổ Loa
E0394,L015,Phiên Ngung
E0062,L008,Cổ Loa Citadel
E0063,L010,Jiaozhi
E0063,L011,Jiuzhen
E0064,L017,Xianyang
E0065,L015,Panyu / Guangzhou
E0066,L016,Guilin
E0067,L010,Jiaozhi
E0067,L011,Jiuzhen
E0070,L018,Chang'an
E0074,L019,Zhengding County
E0075,L012,Luy Lâu
E0395,L015,Phiên Ngung
E0395,L010,Giao Chỉ
E0395,L011,Cửu Chân
E0082,L010,Jiaozhi
E0082,L011,Jiuzhen
E0396,L010,Giao Chỉ
E0396,L004,Red River Delta
E0086,L014,Hoành Sơn Range
E0086,L013,Rinan
E0092,L004,Red River Delta
E0397,L010,Giao Chỉ
E0398,L010,Giao Chỉ
E0399,L010,Giao Chỉ
E0399,L021,Long Biên
E0097,L022,Gia Ninh Citadel
E0097,L021,Long Biên
E0097,L023,Việt Trì
E0098,L024,Khuất Lão Cave
E0099,L026,Khoái Châu District
E0099,L025,Dạ Trạch
E0102,L021,Long Biên
E0105,L006,Phong Châu
E0400,L027,Đại La
E0400,L001,Northern Vietnam
E0401,L027,Đại La
E0401,L001,Northern Vietnam
E0402,L027,Đại La
E0403,L027,Đại La
E0404,L027,Đại La
E0405,L027,Đại La
E0405,L015,Phiên Ngung
E0406,L010,Giao Chỉ
E0407,L010,Giao Chỉ
E0109,L009,Bạch Đằng River
E0109,L068,Hải Phòng
E0408,L008,Cổ Loa
E0408,L009,Bạch Đằng River
E0409,L028,Hoa Lư
E0113,L028,Hoa Lư
E0410,L028,Hoa Lư
E0115,L028,Hoa Lư
E0116,L009,Bạch Đằng River
E0116,L029,Lạng Sơn
E0118,L030,Indrapura
E0412,L031,Thăng Long
E0414,L001,Northern Vietnam
E0423,L014,Hoành Sơn
E0121,L028,Hoa Lư
E0121,L027,Tống Bình / Đại La
E0411,L031,Thăng Long
E0125,L033,"Temple of Literature, Hanoi"
E0125,L008,Cổ Loa Citadel
E0125,L027,Tống Bình / Đại La
E0125,L031,Thăng Long
E0125,L032,Hanoi
E0125,L038,Đông Quan
E0125,L040,Đông Kinh
E0125,L050,Ngọc Hồi-Đống Đa
E0133,L008,Cổ Loa Citadel
E0133,L027,Tống Bình / Đại La
E0133,L031,Thăng Long
E0133,L032,Hanoi
E0133,L033,"Temple of Literature, Hanoi"
E0133,L038,Đông Quan
E0133,L040,Đông Kinh
E0133,L050,Ngọc Hồi-Đống Đa
E0135,L034,Bình Than
E0136,L035,Diên Hồng
E0413,L031,Thăng Long
E0413,L040,Đông Kinh
E0143,L037,Citadel of the Hồ Dynasty
E0421,L031,Thăng Long
E0421,L044,Hội An
E0422,L031,Thăng Long
E0426,L085,Hoàng Sa
E0425,L055,Nam Kỳ
E0425,L043,Gia Định
E0427,L049,Côn Đảo
E0430,L045,Quy Nhơn
E0162,L043,Gia Định
E0162,L044,Saigon
E0162,L066,Xá Lợi Pagoda
E0163,L045,Quy Nhơn
E0165,L047,Tiền Giang Province
E0165,L046,Rạch Gầm-Xoài Mút
E0165,L048,Mekong River
E0165,L065,Ấp Bắc
E0166,L042,Phú Xuân
E0167,L031,Thăng Long
E0167,L035,Diên Hồng
E0167,L040,Đông Kinh
E0431,L031,Thăng Long
E0431,L042,Phú Xuân
E0431,L043,Gia Định
E0169,L049,Côn Sơn Island
E0170,L050,Ngọc Hồi-Đống Đa
E0172,L043,Gia Định
E0172,L044,Saigon
